id,reference,T5-small_summary,T5-small_r1_p,T5-small_r1_r,T5-small_r1_f,T5-small_r2_p,T5-small_r2_r,T5-small_r2_f,T5-small_rL_f,BART_summary,BART_r1_p,BART_r1_r,BART_r1_f,BART_r2_p,BART_r2_r,BART_r2_f,BART_rL_f
00200e794fa41d3f7ce92cbf43e9fd4cd652bb09,"James Best, who played the sheriff on ""The Dukes of Hazzard,"" died Monday at 88 .
""Hazzard"" ran from 1979 to 1985 and was among the most popular shows on TV .","""I laughed and learned more from Jimmie in one hour than from anyone else,"" says ""Hazzard"" co-star John Schneider .<n>James Best played bumbling sheriff Rosco P. Coltrane on ""The Dukes of Hazzard""",0.3529,0.4,0.375,0.1515,0.1724,0.1613,0.2812,"James Best was best known for his portrayal of bumbling sheriff Rosco P. Coltrane on TV's ""The Dukes of Hazzard"" He died in hospice in Hickory, North Carolina, of complications from pneumonia.",0.3636,0.4,0.381,0.1562,0.1724,0.1639,0.3175
0021fe8d65bd0d6d76d5fefba2ac02f0c48a43f4,"A lawyer for Dr. Anthony Moschetto says the charges against him are baseless .
Moschetto, 54, was arrested for selling drugs and weapons, prosecutors say .
Authorities allege Moschetto hired accomplices to burn down the practice of former associate .","Dr. Anthony Moschetto is charged in what authorities say was a failed plot to have another physician hurt or killed .<n>""None of anything in this case has any evidentiary value,"" his attorney says .",0.3235,0.2973,0.3099,0.0606,0.0556,0.058,0.1972,"Dr. Anthony Moschetto faces criminal solicitation, conspiracy, burglary, arson, criminal prescription sale and weapons charges. Two other men -- identified as James Chmela, 43, and James Kalamaras, 41 -- were named as accomplices.",0.2258,0.1892,0.2059,0.1,0.0833,0.0909,0.1765
0041698b4463a633f912681b96f73648cb012e33,"""No challenge poses more of a public threat than climate change,"" the President says .
He credits the Clean Air Act with making Americans ""a lot"" healthier .","CNN's John Sutter sat down with President Obama for a one-on-one interview .<n>He asked him about the science behind climate change and public health .<n>Obama: ""No challenge poses more of a public threat than climate change""",0.3902,0.6154,0.4776,0.25,0.4,0.3077,0.3284,"President Barack Obama took part in a roundtable discussion this week on climate change. Obama: ""No challenge poses more of a public threat than climate change""",0.5,0.5,0.5,0.4,0.4,0.4,0.4231
0095ce085581314285f894af73a55ea9ef003412,"Presidential hopeful's video, featuring gay couple, gets mature rating in Russia .
Russian TV channel feared airing it would break the country's anti-gay propaganda law .
Clinton announced her support for same-sex marriage in 2013 .","A Russian TV channel aired Hillary Clinton's first campaign video with a rating stamp that means it's for mature audiences .<n>A clip of the video, which features a gay couple holding hands, got the 18+ rating .<n>The channel said it didn't want to break the controversial law, which bans ""propaganda of nontraditional sexual relations around minors""",0.3115,0.5135,0.3878,0.0667,0.1111,0.0833,0.2245,"A Russian TV channel aired Hillary Clinton's first campaign video with a rating stamp that means it's for mature audiences. The channel told CNN that it didn't want to break the controversial law, which bans ""propaganda of nontraditional sexual relations around minors"" Clinton's video was released over the weekend to announce the start of her 2016 U.S. presidential campaign.",0.2969,0.5135,0.3762,0.0635,0.1111,0.0808,0.2178
00a51d5454f2ef7dbf4c53471223a27fb9c20681,"Raul Reyes: In seeking Latino vote, Marco Rubio his own worst enemy on two key issues: immigration reform, Cuba relations .
He says on health care, climate change and other issues, he breaks from Latinos' positions. Polls show they don't favor him .",Marco Rubio has announced that he is seeking the Republican presidential nomination .<n>Ruben Navarrette: Rubio has been his own worst enemy on what could have been his signature issues .,0.3333,0.2381,0.2778,0.1724,0.122,0.1429,0.2222,"Ruben Navarrette: Marco Rubio has been his own worst enemy on immigration reform and Cuba relations. He says Rubio has missed an opportunity to set himself apart from most of the presumptive Republican presidential candidates. Rubio's political philosophy will be a tough sell to Hispanics, he says.",0.3333,0.381,0.3556,0.1915,0.2195,0.2045,0.3111
00dddbedf41ec993a8b976f3cce2dd8ca2c7efed,"Critically acclaimed series ""Orphan Black"" returns .
""Turn: Washington's Spies"" starts a second season .
""Game of Thrones"" is back for season five .","""Orphan Black"" returns for its third season on April 18 .<n>""Turn: Washington's Spies"" returns Monday .<n>""Game of Thrones"" returns Sunday .",0.5217,0.5455,0.5333,0.3182,0.3333,0.3256,0.4444,"The new season of ""Orphan Black"" premieres on Saturday. Tatiana Maslany has taken on at least six roles on the show. The world of Westeros returns for a fifth season in one of the biggest season premieres of the year.",0.2,0.3636,0.2581,0.0256,0.0476,0.0333,0.2258
00e5eb6c1af59233b661e59b0954a4f84a2f3904,"The ramp agent fell asleep in the plane's cargo hold .
He can no longer work on Alaska Airlines flights .","Passenger: ""All of a sudden we heard all this pounding underneath the plane""<n>The Alaska Airlines flight was on its way to Los Angeles .",0.28,0.35,0.3111,0.125,0.1579,0.1395,0.2222,"""I'm inside a plane and I feel like it's up moving in the air,"" the caller says. ""There could be a person in there so we're going to come back around,"" the pilot tells air traffic control. The ramp agent has been permanently banned from working on Alaska Airlines planes.",0.2075,0.55,0.3014,0.1154,0.3158,0.169,0.1918
012819ffa2547138101055add33deebe7beaa3d4,"Mullah Omar, the reclusive founder of the Afghan Taliban, is still in charge, a new biography claims .
An ex-Taliban insider says there have been rumors that the one-eyed militant is dead .",Omar was famously camera-shy during the Taliban's six-year rule over most of Afghanistan .<n>Several Afghan observers say the biography is aimed at dispelling rumors of Omar's demise .,0.3125,0.303,0.3077,0.0,0.0,0.0,0.2154,"Mullah Mohammed Omar is credited with founding the Taliban in the early 1990s. The Taliban's ""Cultural Commission"" released the 11-page document in several different translations.",0.3333,0.2727,0.3,0.0,0.0,0.0,0.2333
027936fedb5e785fe79e84cb6e55c9cc26042ad3,"Michelle MacLaren is no longer set to direct the first ""Wonder Woman"" theatrical movie .
MacLaren left the project over ""creative differences""
Movie is currently set for 2017 .","Michelle MacLaren is leaving the ""Wonder Woman"" movie .<n>She was announced as director in November .<n>The movie is still set for release in 2017 .",0.5,0.4815,0.4906,0.2,0.1923,0.1961,0.4906,"CNN confirms Michelle MacLaren is leaving the upcoming ""Wonder Woman"" movie. The movie, starring Gal Gadot in the title role of the Amazon princess, is still set for release on June 23, 2017.",0.3939,0.4815,0.4333,0.125,0.1538,0.1379,0.4333
0281c649039f99af337e91190d5bdcb5e9734969,"British tabloid releases video it says shows the robbery being carried out .
British police say they didn't respond to a burglar alarm in jewelry district .
Police give no value of the amount taken in the heist in London's jewelry district .","Southern Monitoring Alarm Company called police at 12:21 a.m. April 3 .<n>""A grade was applied to the call that meant that no police response was deemed to be required,"" police say .",0.2647,0.2143,0.2368,0.0303,0.0244,0.027,0.1053,British police say they knew a burglar alarm went off but didn't respond. The theft was so big that police haven't come up with a value for what was stolen.,0.4062,0.3095,0.3514,0.2258,0.1707,0.1944,0.2432
029cb353e9cc8ddfda29f13217a20e01d38a1d95,"Video of Toya Graham going to a protest and forcefully removing her son went viral, drew a lot of praise .
The single mother of six tells CNN her son was scolded that he wasn't brought up that way .
Michael Singleton says he knows his mom was trying to protect him .","Toya Graham tells CNN's ""Anderson Cooper 360"" she wasn't concerned about embarrassing her son .<n>""He was embarrassing himself by wearing that mask and that hoodie and doing what he was doing,"" she says .",0.4444,0.3137,0.3678,0.1143,0.08,0.0941,0.2529,"Toya Graham says she wasn't concerned that she might be embarrassing her son. ""He was embarrassing himself by wearing that mask and that hoodie,"" she says. The video of Graham yanking her son, Michael Singleton, out of a protest has led to the Internet calling Graham #motheroftheyear.",0.4792,0.451,0.4646,0.1489,0.14,0.1443,0.2222
029f5f6775ecd8b5fad0dc0e55ab4a9754fcad8f,"Obsidian can produce cutting edges many times finer than even the best steel scalpels .
Some surgeons still use the blades in procedures today .",In Neolithic times trepanation -- drilling a hole into the skull -- was thought to be a cure for everything from epilepsy to migraines .<n>But the implement often used to carry out the primitive surgery was made from one of the sharpest substances found in nature -- obsidian .<n>At 30 angstroms -- a unit of measurement equal to one hundred millionth of a centimeter -- an obsidian can rival diamond in the fineness of its edge .,0.1096,0.3478,0.1667,0.0139,0.0455,0.0213,0.1042,In Neolithic times trepanation -- or drilling a hole into the skull -- was thought to be a cure for everything from epilepsy to migraines. The implement often used to carry out the primitive surgery was made from one of the sharpest substances found in nature -- obsidian. Obsidian -- a type of volcanic glass -- can produce cutting edges many times finer than even the best steel scalpels.,0.2656,0.7391,0.3908,0.1905,0.5455,0.2824,0.3218
02b7cd5b0d1e192f1dcb9da18d21c1a2bec00562,"Saudi general says more than 1,200 airstrikes since campaign began March 26 .
Three Saudis were killed in attack on border position, source tells CNN .","More than 500 Houthi rebels have been killed, a Saudi official says .<n>A general says the raids aim to keep the rebels from moving toward southern Yemen .",0.2143,0.24,0.2264,0.0741,0.0833,0.0784,0.1132,"A nine-nation coalition has undertaken 1,200 airstrikes since March 26, a Saudi general says. The raids aim to keep the rebels from moving toward southern Yemen, Gen. Ahmed Asiri says.",0.2812,0.36,0.3158,0.1935,0.25,0.2182,0.2456
02fbe00a8ca19dbd1ddc989bde8f387e1ea34848,"Most Americans say businesses should not discriminate against same-sex weddings .
Public opinion has shifted on the issue since last fall .
Indiana passed and later changed its religious freedom law after public outcry .","A new CNN/ORC poll finds 57% feel businesses should be required to serve gay or lesbian couples just as they would heterosexual couples .<n>That's a shift from a Pew Research Center poll conducted last fall, which found just 49% thought businesses ought to serve same-sex couples .",0.14,0.2121,0.1687,0.0612,0.0938,0.0741,0.1205,A new CNN/ORC poll finds 57% feel businesses should be required to serve gay or lesbian couples. 41% say they should be allowed to refuse service for religious reasons. That's a shift from a Pew Research Center poll conducted last fall.,0.1628,0.2121,0.1842,0.0476,0.0625,0.0541,0.1316
03b5f873e654678ac305c13fad6928030564b8e2,"Opening statements are scheduled Monday in the trial of James Holmes .
Jury selection took three months .
Holmes faces 165 counts in the movie theater massacre that killed 12 people .",Opening statements in the trial of James Holmes are scheduled to begin Monday .<n>Holmes is accused of killing 12 people and injuring 70 others in a Colorado movie theater .<n>He has pleaded not guilty by reason of insanity .,0.45,0.6207,0.5217,0.2564,0.3571,0.2985,0.3478,James Holmes says he was insane at the time of the shootings. Prosecutors aren't swayed and will seek the death penalty. Opening statements in his trial are scheduled to begin Monday.,0.375,0.4138,0.3934,0.0968,0.1071,0.1017,0.1639
03e71bbf2d299d2204c90cf823180eb3398895c4,"Death toll in Nepal climbs above 4,600, officials say, with more than 9,000 injured .
Shattered villages near epicenter are hard to reach, says aid worker in the area .
More bad weather is forecast for the region in the coming days .","""This is not the time to rest and lament,"" says Nepal army Lt. Col. A. J. Thapa .<n>Up to 200 people are feared missing after a landslide north of Kathmandu, official says .",0.2424,0.1905,0.2133,0.0312,0.0244,0.0274,0.08,"Up to 200 people are feared missing after a landslide in Langtang National Park. The death toll has now climbed above 4,600 in Nepal, officials say.",0.5185,0.3333,0.4058,0.2308,0.1463,0.1791,0.2319
0408464fb6eb2702626d2ca1cbb7c28e76ddd255,"In Baltimore, after the death of Freddie Gray, riots erupted, cars were set on fire and 200 arrests were made .
Eric Liu: Liberals and conservatives react predictably, see the riots as confirmation of their views .
It's time to push each other out of our ideological and identity comfort zones and change the status quo, he says .",David Gergen: We are the authors of every page of Baltimore's story. Don't tell me it's not your responsibility or mine.<n>Gergen: Both longstanding structural racism and personal irresponsibility are on display this week .,0.2105,0.1404,0.1684,0.027,0.0179,0.0215,0.1263,"Frida Ghitis: We set Baltimore on fire, brutalized black bodies, turned a funeral into a riot. She says the word ""we"" is one of the great American words: We the People.",0.3226,0.1754,0.2273,0.0333,0.0179,0.0233,0.1364
