id,reference,Lead-3_summary,Lead-3_r1_p,Lead-3_r1_r,Lead-3_r1_f,Lead-3_r2_p,Lead-3_r2_r,Lead-3_r2_f,Lead-3_rL_f,TextRank_summary,TextRank_r1_p,TextRank_r1_r,TextRank_r1_f,TextRank_r2_p,TextRank_r2_r,TextRank_r2_f,TextRank_rL_f,LSA_summary,LSA_r1_p,LSA_r1_r,LSA_r1_f,LSA_r2_p,LSA_r2_r,LSA_r2_f,LSA_rL_f,LexRank_summary,LexRank_r1_p,LexRank_r1_r,LexRank_r1_f,LexRank_r2_p,LexRank_r2_r,LexRank_r2_f,LexRank_rL_f
00200e794fa41d3f7ce92cbf43e9fd4cd652bb09,"James Best, who played the sheriff on ""The Dukes of Hazzard,"" died Monday at 88 .
""Hazzard"" ran from 1979 to 1985 and was among the most popular shows on TV .","CNN James Best, best known for his portrayal of bumbling sheriff Rosco P. Coltrane on TV s The Dukes of Hazzard, died Monday after a brief illness. He was 88. Best died in hospice in Hickory, North Carolina, of complications from pneumonia, said Steve Latshaw, a longtime friend and Hollywood colleague.",0.2941,0.5,0.3704,0.14,0.2414,0.1772,0.321,"CNN James Best, best known for his portrayal of bumbling sheriff Rosco P. Coltrane on TV s The Dukes of Hazzard, died Monday after a brief illness. Best died in hospice in Hickory, North Carolina, of complications from pneumonia, said Steve Latshaw, a longtime friend and Hollywood colleague. But Best will always be best known for his Hazzard role, which lives on in reruns.",0.2344,0.5,0.3191,0.1111,0.2414,0.1522,0.2766,"He was 88. I laughed and learned more from Jimmie in one hour than from anyone else in a whole year, co-star John Schneider, who played Bo Duke, said on Twitter. People we ve lost in 2015 .",0.2105,0.2667,0.2353,0.027,0.0345,0.0303,0.1176,"CNN James Best, best known for his portrayal of bumbling sheriff Rosco P. Coltrane on TV s The Dukes of Hazzard, died Monday after a brief illness. Among the most popular shows on TV in the early 80s, The Dukes of Hazzard ran until 1985 and spawned TV movies, an animated series and video games. But Best will always be best known for his Hazzard role, which lives on in reruns.",0.3099,0.7333,0.4356,0.2,0.4828,0.2828,0.3366
0021fe8d65bd0d6d76d5fefba2ac02f0c48a43f4,"A lawyer for Dr. Anthony Moschetto says the charges against him are baseless .
Moschetto, 54, was arrested for selling drugs and weapons, prosecutors say .
Authorities allege Moschetto hired accomplices to burn down the practice of former associate .","CNN The attorney for a suburban New York cardiologist charged in what authorities say was a failed scheme to have another physician hurt or killed is calling the allegations against his client completely unsubstantiated. Appearing Saturday morning on CNN s New Day, Randy Zelin defended his client, Dr. Anthony Moschetto, who faces criminal solicitation, conspiracy, burglary, arson, criminal prescription sale and weapons charges in connection to what prosecutors called a plot to take out a rival doctor on Long Island. None of anything in this case has any evidentiary value, Zelin told CNN s Christi Paul.",0.1875,0.4865,0.2707,0.0316,0.0833,0.0458,0.1504,"During the course of the undercover operation, however, Moschetto also sold the officers two semiautomatic assault weapons as well as ammunition, prosecutors said. Kalamaras and Chmela are believed to have taken part in the arson, according to prosecutors. Moschetto allegedly gave an informant and undercover detective blank prescriptions and cash for the assault and killing of the fellow cardiologist, according to prosecutors.",0.1774,0.2973,0.2222,0.0,0.0,0.0,0.1414,"They pleaded not guilty in Nassau County District Court, according to authorities. Moschetto allegedly told officers during one buy that he needed dynamite to blow up a building. He later said he no longer needed the dynamite because a friend was setting fire to the building instead.",0.1489,0.1892,0.1667,0.0,0.0,0.0,0.119,"He s got patients to see. During the course of the undercover operation, however, Moschetto also sold the officers two semiautomatic assault weapons as well as ammunition, prosecutors said. Moschetto allegedly told officers during one buy that he needed dynamite to blow up a building.",0.2,0.2432,0.2195,0.0,0.0,0.0,0.1463
0041698b4463a633f912681b96f73648cb012e33,"""No challenge poses more of a public threat than climate change,"" the President says .
He credits the Clean Air Act with making Americans ""a lot"" healthier .","CNN President Barack Obama took part in a roundtable discussion this week on climate change, refocusing on the issue from a public health vantage point. After the event at Washington s Howard University on Tuesday, Obama sat down with me for a one-on-one interview. I asked him about the science behind climate change and public health and the message he wants the average American to take away, as well as how enforceable his action plan is.",0.141,0.4231,0.2115,0.026,0.08,0.0392,0.1538,"CNN President Barack Obama took part in a roundtable discussion this week on climate change, refocusing on the issue from a public health vantage point. He also issued a presidential proclamation declaring April 6-12 as National Public Health Week to better understand, communicate and reduce the health impacts of climate change on our communities. Obama did not appear particularly concerned about the current Supreme Court challenge to the Affordable Care Act.",0.1667,0.4615,0.2449,0.0282,0.08,0.0417,0.1429,"According to the U.S. Department of Energy, this practice can save 100 a year on your energy bill. Use a laptop instead of a desktop. According to Energy Star, a laptop can be up to 80 more energy-efficient than a desktop.",0.1395,0.2308,0.1739,0.0238,0.04,0.0299,0.1159,"CNN President Barack Obama took part in a roundtable discussion this week on climate change, refocusing on the issue from a public health vantage point. According to the U.S. Department of Energy, this practice can save 100 a year on your energy bill. Obama did not appear particularly concerned about the current Supreme Court challenge to the Affordable Care Act.",0.1803,0.4231,0.2529,0.0333,0.08,0.0471,0.1379
0095ce085581314285f894af73a55ea9ef003412,"Presidential hopeful's video, featuring gay couple, gets mature rating in Russia .
Russian TV channel feared airing it would break the country's anti-gay propaganda law .
Clinton announced her support for same-sex marriage in 2013 .","Moscow CNN A Russian TV channel aired Hillary Clinton s first campaign video with a rating stamp that means it s for mature audiences, because of fears it might run afoul of the country s anti-gay propaganda law. A clip of the video, which features a gay couple holding hands, got the 18 rating from the independent TV Rain channel in Russia on Monday. The channel told CNN that it didn t want to break the controversial law, which bans propaganda of nontraditional sexual relations around minors and bars public discussion of gay rights and relationships within earshot of children.",0.2475,0.6757,0.3623,0.11,0.3056,0.1618,0.1884,"Moscow CNN A Russian TV channel aired Hillary Clinton s first campaign video with a rating stamp that means it s for mature audiences, because of fears it might run afoul of the country s anti-gay propaganda law. A clip of the video, which features a gay couple holding hands, got the 18 rating from the independent TV Rain channel in Russia on Monday. The channel told CNN that it didn t want to break the controversial law, which bans propaganda of nontraditional sexual relations around minors and bars public discussion of gay rights and relationships within earshot of children.",0.2475,0.6757,0.3623,0.11,0.3056,0.1618,0.1884,"It features about five seconds of two men holding hands. One of the men says, I m getting married this summer to someone I really care about. That s why you can feel safe and free here, he added, but please leave our children in peace.",0.1304,0.1622,0.1446,0.0,0.0,0.0,0.0964,"Moscow CNN A Russian TV channel aired Hillary Clinton s first campaign video with a rating stamp that means it s for mature audiences, because of fears it might run afoul of the country s anti-gay propaganda law. The channel told CNN that it didn t want to break the controversial law, which bans propaganda of nontraditional sexual relations around minors and bars public discussion of gay rights and relationships within earshot of children. The former senator and first lady first declared her support for same-sex marriage in early 2013, saying that gay rights are human rights, and human rights are gay rights.",0.2667,0.7568,0.3944,0.1442,0.4167,0.2143,0.2817
00a51d5454f2ef7dbf4c53471223a27fb9c20681,"Raul Reyes: In seeking Latino vote, Marco Rubio his own worst enemy on two key issues: immigration reform, Cuba relations .
He says on health care, climate change and other issues, he breaks from Latinos' positions. Polls show they don't favor him .","CNN Marco Rubio is all in. The Republican senator from Florida has announced that he is seeking the Republican presidential nomination, running on an optimistic message that he embodies the promise of the American Dream. With his youthful energy and Hispanic roots, it s tempting to see Rubio as the new blood that the GOP needs in order to compete against Hillary Clinton in 2016.",0.1538,0.2381,0.1869,0.0156,0.0244,0.019,0.0935,"Yet Rubio has been his own worst enemy on what could have been his two signature issues: immigration reform and Cuba relations. Meanwhile, both the Deferred Action program and President Obama s executive action on immigration are overwhelmingly favored by Hispanics. Immigration and Cuba policy aside, Rubio s political philosophy will be a tough sell to Hispanics.",0.2632,0.3571,0.303,0.125,0.1707,0.1443,0.2828,"He believes that President Obama s Deferred Action program, offering deportation relief to young immigrants, should be ended. Meanwhile, both the Deferred Action program and President Obama s executive action on immigration are overwhelmingly favored by Hispanics. With his early leap into the 2016 race, Marco Rubio is positioning himself as the next generation of GOP leadership.",0.1579,0.2143,0.1818,0.0179,0.0244,0.0206,0.0606,"The Republican senator from Florida has announced that he is seeking the Republican presidential nomination, running on an optimistic message that he embodies the promise of the American Dream. He holds little appeal to Latino voters. Another Rubio weakness is his lack of bold policy proposals.",0.1739,0.1905,0.1818,0.0,0.0,0.0,0.1136
00dddbedf41ec993a8b976f3cce2dd8ca2c7efed,"Critically acclaimed series ""Orphan Black"" returns .
""Turn: Washington's Spies"" starts a second season .
""Game of Thrones"" is back for season five .",CNN SPOILER ALERT! It s not just women getting cloned. That was the big twist at the end of Orphan Black s second season.,0.25,0.2727,0.2609,0.087,0.0952,0.0909,0.2174,"Series star Jamie Bell told CNN what we can expect in the second season. ET, Sunday, HBO . ET, Sunday, Showtime .",0.15,0.1364,0.1429,0.0526,0.0476,0.05,0.1429,"That was the big twist at the end of Orphan Black s second season. ET, Sunday, HBO . Veep, 10:30 ET, Sunday, HBO .",0.2609,0.2727,0.2667,0.0909,0.0952,0.093,0.2222,"That was the big twist at the end of Orphan Black s second season. Turn: Washington s Spies, 9 p.m. Series star Jamie Bell told CNN what we can expect in the second season.",0.3143,0.5,0.386,0.1471,0.2381,0.1818,0.2807
00e5eb6c1af59233b661e59b0954a4f84a2f3904,"The ramp agent fell asleep in the plane's cargo hold .
He can no longer work on Alaska Airlines flights .","CNN Emergency operators get lots of crazy calls, but few start like this. Caller: Hello, I m trapped in this plane and I called my job, but I m in this plane. Operator: You re where?",0.0556,0.1,0.0714,0.0,0.0,0.0,0.0714,"The caller was a ramp agent who fell asleep in the plane s cargo hold. The Menzies employee has been permanently banned from working on Alaska Airlines planes, said Bobbie Egan, a spokeswoman for the airline. The team lead called into the cargo hold for the employee and called and texted the employee s cell phone, but did not receive an answer.",0.2419,0.75,0.3659,0.1803,0.5789,0.275,0.3659,"Caller: Hello, I m trapped in this plane and I called my job, but I m in this plane. There could be a person in there so we re going to come back around, he told air traffic control. Flight 448, which was on its way to Los Angeles, only spent 14 minutes in the air.",0.1071,0.3,0.1579,0.0182,0.0526,0.027,0.1053,"Caller: Hello, I m trapped in this plane and I called my job, but I m in this plane. The caller was a ramp agent who fell asleep in the plane s cargo hold. There could be a person in there so we re going to come back around, he told air traffic control.",0.2222,0.6,0.3243,0.1509,0.4211,0.2222,0.3243
012819ffa2547138101055add33deebe7beaa3d4,"Mullah Omar, the reclusive founder of the Afghan Taliban, is still in charge, a new biography claims .
An ex-Taliban insider says there have been rumors that the one-eyed militant is dead .","CNN Mullah Mohammed Omar is still the leader of the Taliban s self-declared Islamic Emirate of Afghanistan. That appears to be the primary message of a biography, just published by the Taliban, of the reclusive militant who is credited with founding the group in the early 1990s. The Taliban s Cultural Commission released the 11-page document in several different translations on the movement s website, ostensibly to commemorate the 19th anniversary of an April 4, 1996, meeting in Afghanistan s Kandahar province when an assembly of Afghans swore allegiance to Omar.",0.2043,0.5758,0.3016,0.0326,0.0938,0.0484,0.1905,"CNN Mullah Mohammed Omar is still the leader of the Taliban s self-declared Islamic Emirate of Afghanistan. Omar was famously camera-shy during the Taliban s six-year rule over most of Afghanistan. Though Taliban militants have continued to battle the U.S.-backed government across Afghanistan, Omar has not been seen or heard from in years.",0.2414,0.4242,0.3077,0.0351,0.0625,0.0449,0.1978,"The biography also appears to be an attempt to remind the world of the Afghan s jihadi leadership credentials, at a time when ISIS leader Abu Bakr al-Baghdadi has declared himself caliph of the world s Muslims. Another caliph has announced himself to the world, and the Taliban has been silent. During a decade in exile, the Saudi-born bin Laden continued to release periodic video and audio statements until he was killed by U.S. raid on his hideout in the Pakistani city of Abbottabad in 2011.",0.1236,0.3333,0.1803,0.0227,0.0625,0.0333,0.1311,"CNN Mullah Mohammed Omar is still the leader of the Taliban s self-declared Islamic Emirate of Afghanistan. The Taliban s Cultural Commission released the 11-page document in several different translations on the movement s website, ostensibly to commemorate the 19th anniversary of an April 4, 1996, meeting in Afghanistan s Kandahar province when an assembly of Afghans swore allegiance to Omar. According to the biography, Omar was born in 1960 in a village called Chah-i-Himmat in Afghanistan s Kandahar province.",0.1786,0.4545,0.2564,0.0241,0.0625,0.0348,0.1538
027936fedb5e785fe79e84cb6e55c9cc26042ad3,"Michelle MacLaren is no longer set to direct the first ""Wonder Woman"" theatrical movie .
MacLaren left the project over ""creative differences""
Movie is currently set for 2017 .","CNN Wanted: film director, must be eager to shoot footage of golden lassos and invisible jets. CNN confirms that Michelle MacLaren is leaving the upcoming Wonder Woman movie The Hollywood Reporter first broke the story . MacLaren was announced as director of the movie in November.",0.2667,0.4444,0.3333,0.0682,0.1154,0.0857,0.2778,"CNN confirms that Michelle MacLaren is leaving the upcoming Wonder Woman movie The Hollywood Reporter first broke the story . MacLaren was announced as director of the movie in November. CNN obtained a statement from Warner Bros. Pictures that says, Given creative differences, Warner Bros. and Michelle MacLaren have decided not to move forward with plans to develop and direct Wonder Woman together.",0.2419,0.5556,0.3371,0.0656,0.1538,0.092,0.2472,"CNN obtained a statement from Warner Bros. Pictures that says, Given creative differences, Warner Bros. and Michelle MacLaren have decided not to move forward with plans to develop and direct Wonder Woman together. CNN and Warner Bros. Pictures are both owned by Time Warner. Gadot will appear beforehand in Batman v. Superman: Dawn of Justice, due out March 25, 2016.",0.1333,0.2963,0.1839,0.0508,0.1154,0.0706,0.1379,"CNN confirms that Michelle MacLaren is leaving the upcoming Wonder Woman movie The Hollywood Reporter first broke the story . CNN obtained a statement from Warner Bros. Pictures that says, Given creative differences, Warner Bros. and Michelle MacLaren have decided not to move forward with plans to develop and direct Wonder Woman together. CNN and Warner Bros. Pictures are both owned by Time Warner.",0.2222,0.5185,0.3111,0.0645,0.1538,0.0909,0.2222
0281c649039f99af337e91190d5bdcb5e9734969,"British tabloid releases video it says shows the robbery being carried out .
British police say they didn't respond to a burglar alarm in jewelry district .
Police give no value of the amount taken in the heist in London's jewelry district .","London CNN British police investigating a spectacular heist in the heart of London s jewelry district said Friday they knew a burglar alarm went off but didn t respond. Southern Monitoring Alarm Company called the Metropolitan Police Service, also known as Scotland Yard, at 12:21 a.m. April 3 to report that the burglar alarm had been activated at Hatton Garden Safe Deposit Ltd., MPS said in a prepared statement. The call was recorded and transferred to the police s CAD computer-aided dispatch system, the statement said.",0.2472,0.5238,0.3359,0.1136,0.2439,0.155,0.1985,"London CNN British police investigating a spectacular heist in the heart of London s jewelry district said Friday they knew a burglar alarm went off but didn t respond. When asked about the video published by the Daily Mirror, police said they could not confirm that it was footage from the Hatton Garden robbery and that officers have not seen that particular video. At 9:27 p.m., a street camera shows a white Ford Transit van pulling up to an alley beside the Hatton Garden Safe Deposit building.",0.2809,0.5952,0.3817,0.1136,0.2439,0.155,0.1374,"He goes downstairs toward the vault. He goes downstairs toward the vault. Although there was no sign of forced entry to the building, the detective said, whether that involves inside knowledge will form part of the investigation.",0.1622,0.1429,0.1519,0.0278,0.0244,0.026,0.1266,We are now investigating why this grade was applied to the call. Hatton Garden is a storied area in London and the heart of the city s diamond trade. The Hatton Garden area has been the epicentre of London s jewellery trade since medieval times.,0.2,0.2143,0.2069,0.0682,0.0732,0.0706,0.1839
